Subcategory,Skills
Chief Data Officer (Tech Leadership),Data strategy; Governance; Analytics oversight; Team mgmt
Chief Information Security Officer (Tech Leadership),Security strategy; Risk mgmt; Compliance; Team leadership
AI Team Lead / Engineering Manager (Tech Leadership),Team management; Project planning; Mentorship; AI stack knowledge
Tech Lead / Staff Engineer / Principal Engineer (Tech Leadership),System design; Technical leadership; Mentorship; Code quality; Architecture
Systems Administrator (IT & Systems),Windows/Linux admin; Networking; Monitoring; Backup; Security; Troubleshooting
IT Support / Helpdesk (IT & Systems),End-user support; Troubleshooting; Ticketing; Hardware/software support
Network Administrator (IT & Systems),Networking; Firewall; VPN; Routing; Switching; Monitoring
IT Operations Specialist (IT & Systems),ITIL; System monitoring; Incident response; Automation
Systems Analyst (IT & Systems),Requirements gathering; System design; Testing; Documentation
ERP/CRM Engineer (IT & Systems),ERP/CRM configuration; Customization; Integration; Reporting
AI for Finance (Tech in Business Functions),Finance domain; AI workflows; Automation; Risk analysis; Reporting; Compliance
AI in Marketing (Tech in Business Functions),Marketing analytics; Personalization; Segmentation; AI tools; Campaign optimization
AI in Operations (Tech in Business Functions),Process automation; Optimization; Analytics; Workflow management; AI tools
AI in HR (Tech in Business Functions),HR analytics; Talent acquisition; AI workflow; Reporting; Automation
AI in Supply Chain (Tech in Business Functions),Supply chain analytics; Optimization; Forecasting; Automation; AI systems
LLM Application Developer (GenerativeAI),LLM development; API integration; Prompt engineering; Fine-tuning; Embeddings; RAG; MLOps
AI Agent Engineer (GenerativeAI),Multi-agent frameworks; Orchestration; Task planning; Python; RL; Evaluation metrics
AI Workflow Automation Engineer (GenerativeAI),Automation; RPA; LLM; Workflow orchestration; API integration
Prompt Engineer (GenerativeAI),Prompt design; LLM tuning; Evaluation; Chain-of-thought; Prompt testing
Synthetic Data Engineer (GenerativeAI),Data simulation; Generation; Privacy; Augmentation; ML integration
Digital Twin Engineer (GenerativeAI),Modeling; Simulation; IoT integration; Analytics; Visualization
AI Safety & Alignment Researcher (GenerativeAI),Safety testing; Alignment metrics; Red-teaming; RLHF; Policy design
Human-AI Interaction Engineer (GenerativeAI),UX; HCI; AI agent design; Feedback loops; Evaluation
AI Quality & Evaluation Engineer (GenerativeAI),Metrics; Benchmarking; Evaluation pipelines; Bias detection; Model testing
Autonomous Agent Safety Analyst (GenerativeAI),Safety testing; Simulation; Monitoring; Evaluation; Multi-agent systems
AI Compliance / Audit Engineer (GenerativeAI),AI governance; Compliance; Auditing; Risk assessment; Documentation
Product Designer (Design),Design thinking; Wireframing; Prototyping; Figma; User research; UX principles; UI design
UX Designer (Design),User research; Usability testing; Wireframing; Prototyping; Interaction design; Analytics
UI Designer (Design),Visual design; Typography; Color theory; Layout; Figma/Sketch; Design systems
Interaction Designer (Design),Interaction patterns; User flows; Wireframing; Prototyping; Motion design
Visual Designer (Design),Typography; Branding; Layout; Illustration; Photoshop/Illustrator
Design Researcher (Design),User interviews; Surveys; Analytics; Personas; Usability testing; Journey mapping
Design Systems Designer (Design),Component libraries; Figma/Sketch; UI consistency; Tokens; Style guides
Motion Designer (Design),Animation principles; After Effects; Prototyping; Storyboarding
Creative Technologist (Design),Coding; Prototyping; Interactive media; AR/VR; Creative software
AI UX Designer (Design),AI integration; Prompt flows; Multi-agent UX; Human-AI interaction; Testing
